match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Manchester United FC vs Leeds United FC,Manchester United FC,Leeds United FC,2026-04-13 19:00:00+00:00,Away Win,0.599145770072937,5.8,0.1724137931034483,0.4267319769694887,2.4750454664230346,12.890861804286638,0.599145770072937
Sunderland AFC vs Tottenham Hotspur FC,Sunderland AFC,Tottenham Hotspur FC,2026-04-12 13:00:00+00:00,Home Win,0.9457205533981323,2.76,0.3623188405797102,0.5834017128184221,1.610188727378845,22.871998968449507,0.9457205533981323
Burnley FC vs Brighton & Hove Albion FC,Burnley FC,Brighton & Hove Albion FC,2026-04-11 14:00:00+00:00,Home Win,0.509194016456604,4.9,0.2040816326530612,0.3051123838035428,1.4950506806373598,9.583658209213844,0.509194016456604
Chelsea FC vs Manchester City FC,Chelsea FC,Manchester City FC,2026-04-12 15:30:00+00:00,Home Win,0.7259930968284607,3.3,0.30303030303030304,0.42296279379815765,1.3957772195339202,15.171491516673047,0.7259930968284607
West Ham United FC vs Wolverhampton Wanderers FC,West Ham United FC,Wolverhampton Wanderers FC,2026-04-10 19:00:00+00:00,Home Win,0.8539887070655823,1.91,0.5235602094240838,0.3304284976414985,0.6311184304952621,17.33841842019951,0.8539887070655823
Nottingham Forest FC vs Aston Villa FC,Nottingham Forest FC,Aston Villa FC,2026-04-12 13:00:00+00:00,Home Win,0.509194016456604,2.78,0.3597122302158274,0.14948178624077663,0.41555936574935903,5.8365079459179645,0.509194016456604
Brentford FC vs Everton FC,Brentford FC,Everton FC,2026-04-11 14:00:00+00:00,Home Win,0.5788708329200745,2.23,0.4484304932735426,0.13044033964653184,0.29088195741176603,5.912234906743212,0.5788708329200745
Burnley FC vs Brighton & Hove Albion FC,Burnley FC,Brighton & Hove Albion FC,2026-04-11 14:00:00+00:00,Draw,0.31109315156936646,4.1,0.24390243902439027,0.06719071254497619,0.2754819214344023,2.2216283986645347,0.509194016456604
Crystal Palace FC vs Newcastle United FC,Crystal Palace FC,Newcastle United FC,2026-04-12 13:00:00+00:00,Draw,0.3422539234161377,3.65,0.273972602739726,0.06828132067641168,0.24922682046890254,2.3511964195179487,0.42657923698425293
Liverpool FC vs Fulham FC,Liverpool FC,Fulham FC,2026-04-11 16:30:00+00:00,Home Win,0.7463911771774292,1.64,0.6097560975609756,0.1366350796164536,0.2240815305709838,8.753184787929055,0.7463911771774292
